코인, 가격
BTC/KRW,"15,423,000원"
ETH/KRW,"371,100원"
DASH/KRW,"200,400원"
LTC/KRW,"142,200원"
ETC/KRW,"9,325원"
XRP/KRW,467원
BCH/KRW,"499,000원"
XMR/KRW,"117,100원"
ZEC/KRW,"137,300원"
QTUM/KRW,"5,700원"
BTG/KRW,"32,900원"
EOS/KRW,"6,990원"
ICX/KRW,391원
VET/KRW,9.20원
TRX/KRW,39.10원
ELF/KRW,235원
MITH/KRW,59.10원
MCO/KRW,"7,015원"
OMG/KRW,"2,909원"
KNC/KRW,292원
GNT/KRW,108원
ZIL/KRW,21.40원
ETHOS/KRW,223원
PAY/KRW,331원
WAX/KRW,87.10원
POWR/KRW,129원
LRC/KRW,93.30원
GTO/KRW,38.50원
STEEM/KRW,495원
STRAT/KRW,"1,694원"
ZRX/KRW,341원
REP/KRW,"26,690원"
AE/KRW,696원
XEM/KRW,126원
SNT/KRW,32.60원
ADA/KRW,112원
PPT/KRW,"4,056원"
CTXC/KRW,621원
CMT/KRW,78.50원
THETA/KRW,137원
WTC/KRW,"3,000원"
ITC/KRW,435원
TRUE/KRW,705원
ABT/KRW,436원
RNT/KRW,51.50원
PLY/KRW,18.50원
WAVES/KRW,"2,851원"
LINK/KRW,"4,436원"
ENJ/KRW,141원
PST/KRW,173원
SALT/KRW,264원
RDN/KRW,"1,194원"
LOOM/KRW,112원
PIVX/KRW,"2,330원"
INS/KRW,542원
BCD/KRW,"2,827원"
BZNT/KRW,26.90원
XLM/KRW,129원
OCN/KRW,4.18원
BSV/KRW,"234,800원"
TMTG/KRW,2.87원
BAT/KRW,356원
WET/KRW,21.70원
XVG/KRW,20.00원
IOST/KRW,17.00원
POLY/KRW,94.70원
HC/KRW,"5,180원"
ROM/KRW,0.06원
AMO/KRW,0.78원
ETZ/KRW,330원
ARN/KRW,695원
APIS/KRW,2.13원
MTL/KRW,"2,790원"
DACC/KRW,0.18원
DAC/KRW,6.70원
BHP/KRW,"2,081원"
BTT/KRW,1.86원
HDAC/KRW,37.50원
NPXS/KRW,0.95원
AUTO/KRW,2.02원
GXC/KRW,"2,424원"
ORBS/KRW,35.60원
VALOR/KRW,"3,181원"
CON/KRW,18.70원
ANKR/KRW,10.80원
MIX/KRW,76.50원
HYC/KRW,14.50원
LBA/KRW,50.30원
